,Unnamed: 0.1,Unnamed: 0,test_ARI,RMSE_train,train_ARI,RMSE_test,loglike,test_ARI_std,RMSE_train_std,train_ARI_std,RMSE_test_std,loglike_std,method,missing_rate
0,0,0,0.5538461538461539,0.0,0.5672727272727273,0.0,-1.326178014861324,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,1,1,0.5642930122723995,0.0,0.5995748911510044,0.0,1.5594687833081184,0.0456001409538162,0.0,0.06861949781003181,0.0,0.0099355267917955,VBEM,0.0
2,2,2,0.5812611296785388,0.0,0.5562255825215913,0.0,-1.996570640446151,0.1144124012536152,0.0,0.08265662785573129,0.0,0.197750749262365,EM,0.0
3,3,3,0.5295394607635235,0.0,0.5034468955399561,0.0,-1.9865464975351743,0.0464892153279645,0.0,0.06628801054142087,0.0,0.1597973850367629,EM+mean,0.0
4,4,4,0.5774906258271938,0.0,0.5652598732241254,0.0,-1.933605208756917,0.1096470733843012,0.0,0.10185551962665859,0.0,0.0268586340833647,EM+median,0.0
5,5,5,0.5395655907228571,0.0,0.5269038812602516,0.0,-1.935450664525341,0.025659554484438,0.0,0.00998550672055245,0.0,0.0109968353254774,EM+mode,0.0
6,6,6,0.5538461538461539,1.2450067704662726,0.5672727272727273,1.1348623875854429,-2.3593041395499994,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,7,7,0.600686615298944,0.3682988932222806,0.5505573671967496,0.3053728620524726,1.1802936682033374,0.1058750497948798,0.0042257018775908,0.07423847460410994,0.0289329102284331,0.1878820945217678,VBEM,0.1
8,8,8,0.5072511786256247,0.3899834047379534,0.507562909079175,0.2927019343605547,-1.8917382773339009,0.0296534377569925,0.0107455785965602,0.03620692761042285,0.0265730576460846,0.147890900595508,EM,0.1
9,9,9,0.41084492732453104,0.7892703265200515,0.49281360072237956,0.8660563865074773,-2.2492186330215813,0.0710575445877302,1.1102230246251563e-16,0.06017549113167867,1.1102230246251563e-16,0.1865682968411156,EM+mean,0.1
10,10,10,0.4537332901879567,0.7902379256326969,0.5137612617515326,0.7894354217831658,-2.34574752414878,0.0961030784734787,1.1102230246251563e-16,0.08043465261873176,0.0,0.2617111571467878,EM+median,0.1
11,11,11,0.42308178082673364,1.2772851652940904,0.41864191183179844,1.3486812702679187,-2.482009298368792,0.1106840261253106,0.0,0.08243714334176064,2.220446049250313e-16,0.3063897433213122,EM+mode,0.1
12,12,12,0.5538461538461539,1.359301072073667,0.5672727272727273,1.1826565948989922,-2.403636730673538,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,13,13,0.5724488695165225,0.4476567481249029,0.6052639360877449,0.3730540815029418,0.9086852878686724,0.0782126825019286,0.0083758537315722,0.057269303061866096,0.0111251431309843,0.0177632188396379,VBEM,0.2
14,14,14,0.5501928641271042,0.4989143372985891,0.531143608361063,0.4004307943851826,-1.8433928408801723,0.0351071977284888,0.0212159839666303,0.044430359523455164,0.0261540616689704,0.0756637980662416,EM,0.2
15,15,15,0.1682294317172815,0.9326310293805704,0.38483310313427954,0.8990817247949486,-2.3858529009602973,0.0644831625104455,1.1102230246251563e-16,0.062168242076661696,0.0,0.1628369347330658,EM+mean,0.2
16,16,16,0.3794621859883357,0.94520117739313,0.4201487041100332,0.911939910339535,-1.990824692584376,0.0748791860386513,0.0,0.07870162893772509,0.0,0.1400949214660768,EM+median,0.2
17,17,17,0.32589477264491196,1.3241728837042197,0.3641255960437839,1.280151863010079,-2.2395218027647896,0.0959704389825335,0.0,0.06328799603370638,0.0,0.3811869004664257,EM+mode,0.2
18,18,18,0.4349796103307657,1.2048584517508798,0.5330163112212819,1.0688107973441054,-2.4233490476680286,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,19,19,0.4321376337658139,0.523535259298448,0.5253231602724893,0.552360265458783,0.6476224380033487,0.0739715708477703,0.0207228786539447,0.06402855086316855,0.0208516838518284,0.1309813428533775,VBEM,0.3
20,20,20,0.4100555772113842,0.5005433441488653,0.4955417300911552,0.6056013442681601,-1.7640269117908098,0.0275327532668776,0.021747014272479,0.017720374909869538,0.0326548707005124,0.1153095375535382,EM,0.3
21,21,21,0.0776945769413097,1.0753771708184396,0.16442298022830454,0.9758477038646084,-2.488502402040106,0.0568399754098804,0.0,0.05714390606533353,2.220446049250313e-16,0.6077043891513424,EM+mean,0.3
22,22,22,0.1399560844110945,1.0901861274529625,0.14441477907198297,1.1229185444413905,-2.3129327591331488,0.0677821979076752,2.220446049250313e-16,0.05961566643909084,0.0,0.5272642789172197,EM+median,0.3
23,23,23,0.1500434365873471,1.4595081031937869,0.22117488974195595,1.517394522214574,-2.148433113777193,0.0610200737367699,2.220446049250313e-16,0.07539658629494599,2.220446049250313e-16,1.1606841326782933,EM+mode,0.3
