,mpid,fname,sname,party,url
0,42976,Diane,Abbott,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42976
1,42945,Jack,Abbott,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42945
2,43136,Debbie,Abrahams,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43136
3,42904,Shockat,Adam,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42904
4,43143,Zubir,Ahmed,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43143
5,43015,Luke,Akehurst,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43015
6,43234,Sadik,Al-Hassan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43234
7,43018,Bayo,Alaba,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43018
8,43076,Dan,Aldridge,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43076
9,42905,Douglas,Alexander,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42905
10,42785,Heidi,Alexander,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42785
11,43346,Rushanara,Ali,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43346
12,43338,Tahir,Ali,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43338
13,42832,Rosena,Allin-Khan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42832
14,43395,Jim,Allister,Traditional Unionist Voice,https://www.publicwhip.org.uk/mp.php?mpid=43395
15,42853,Mike,Amesbury,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42853
16,43240,Gideon,Amos,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43240
17,42938,Callum,Anderson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42938
18,42827,Fleur,Anderson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42827
19,42797,Lee,Anderson,Reform UK,https://www.publicwhip.org.uk/mp.php?mpid=42797
20,43170,Stuart,Anderson,Con,https://www.publicwhip.org.uk/mp.php?mpid=43170
21,43421,Stuart,Andrew,Con,https://www.publicwhip.org.uk/mp.php?mpid=43421
22,42844,Tonia,Antoniazzi,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42844
23,43155,Steffan,Aquarone,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43155
24,43287,Edward,Argar,Con,https://www.publicwhip.org.uk/mp.php?mpid=43287
25,43353,Scott,Arthur,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43353
26,42946,Jessica,Asato,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42946
27,43360,James,Asser,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43360
28,43056,Jas,Athwal,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43056
29,42978,Victoria,Atkins,Con,https://www.publicwhip.org.uk/mp.php?mpid=42978
30,42985,Catherine,Atkinson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42985
31,42784,Lewis,Atkinson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42784
32,42882,Josh,Babarinde,LDem,https://www.publicwhip.org.uk/mp.php?mpid=42882
33,42885,Gareth,Bacon,Con,https://www.publicwhip.org.uk/mp.php?mpid=42885
34,42967,Kemi,Badenoch,Con,https://www.publicwhip.org.uk/mp.php?mpid=42967
35,42848,Calvin,Bailey,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42848
36,43387,Olivia,Bailey,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43387
37,43299,David,Baines,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43299
38,43061,Alex,Baker,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43061
39,43354,Richard,Baker,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43354
40,43038,Harriett,Baldwin,Con,https://www.publicwhip.org.uk/mp.php?mpid=43038
41,43329,Alex,Ballinger,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43329
42,42857,Antonia,Bance,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42857
43,42865,Steve,Barclay,Con,https://www.publicwhip.org.uk/mp.php?mpid=42865
44,42994,Paula,Barker,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42994
45,43280,Lee,Barron,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43280
46,42981,Alex,Barros-Curtis,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42981
47,42928,Johanna,Baxter,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42928
48,43400,Danny,Beales,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43400
49,43118,Lorraine,Beavers,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43118
50,43408,Peter,Bedford,Con,https://www.publicwhip.org.uk/mp.php?mpid=43408
