,loglike,train_ARI,test_ARI,loglike_std,train_ARI_std,test_ARI_std,method,missing_rate,RMSE_train,RMSE_test,RMSE_train_std,RMSE_test_std
0,0.0,0.3323914908849073,0.3412064722243796,0.0,0.0,0.0,KMeans+CC,0.0,,,,
1,0.0,0.3323914908849073,0.3412064722243796,0.0,0.0,0.0,KMeans+mean,0.0,,,,
2,0.0,0.3323914908849073,0.3412064722243796,0.0,0.0,0.0,KMeans+mode,0.0,,,,
3,0.0,0.3323914908849073,0.3412064722243796,0.0,0.0,0.0,KMeans+median,0.0,,,,
4,-2.781173021259703,0.4086519389930857,0.4111614147928675,0.00017345554086530067,0.023840906949478383,0.03462475914703059,EM+CC,0.0,0.0,0.0,0.0,0.0
5,0.0,0.12201913766731358,0.10824769763373458,0.0,1.3877787807814457e-17,0.0,KMeans+CC,0.1,,,,
6,0.0,0.28683986820818125,0.300652000518351,0.0,5.551115123125783e-17,0.0,KMeans+mean,0.1,,,,
7,0.0,0.28683986820818125,0.300652000518351,0.0,5.551115123125783e-17,0.0,KMeans+mode,0.1,,,,
8,0.0,0.28683986820818125,0.300652000518351,0.0,5.551115123125783e-17,0.0,KMeans+median,0.1,,,,
9,-2.78396952919176,0.11425935308869159,0.0,0.001508293726899041,0.009767354616385683,0.0,EM+CC,0.1,0.4685803333336165,0.48829261285160114,8.599750569898517e-17,1.7199501139797033e-16
10,0.0,0.05190448017039968,0.05592502806239332,0.0,0.0,0.0,KMeans+CC,0.2,,,,
11,0.0,0.2329846934247984,0.26246736151329964,0.0,2.7755575615628914e-17,0.0,KMeans+mean,0.2,,,,
12,0.0,0.2329846934247984,0.26246736151329964,0.0,2.7755575615628914e-17,0.0,KMeans+mode,0.2,,,,
13,0.0,0.2329846934247984,0.26246736151329964,0.0,2.7755575615628914e-17,0.0,KMeans+median,0.2,,,,
14,-2.7868934025863084,0.029695571742945664,0.0,0.0011633053412388038,0.0013186395451104584,0.0,EM+CC,0.2,0.480840845256738,0.48050951082893595,5.822058658345462e-17,1.2779626727101131e-16
15,0.0,0.010260664959266499,0.0030582656049482557,0.0,1.734723475976807e-18,0.0,KMeans+CC,0.3,,,,
16,0.0,0.1836691264680737,0.2247647470293796,0.0,0.0,2.7755575615628914e-17,KMeans+mean,0.3,,,,
17,0.0,0.1836691264680737,0.2247647470293796,0.0,0.0,2.7755575615628914e-17,KMeans+mode,0.3,,,,
18,0.0,0.1836691264680737,0.2247647470293796,0.0,0.0,2.7755575615628914e-17,KMeans+median,0.3,,,,
19,-2.7945195126079883,0.0061097742875282374,0.00010290240156707034,0.0029418799116673667,0.0005448246679599985,0.0,EM+CC,0.3,0.47728210899678397,0.48793305752054944,1.1905815549843722e-16,6.991895961698217e-05
20,0.0,0.00044482414569099033,0.002187308301286452,0.0,0.0,4.336808689942018e-19,KMeans+CC,0.4,,,,
21,0.0,0.10682689532041449,0.11831884251443278,0.0,0.0,0.0,KMeans+mean,0.4,,,,
22,0.0,0.10682689532041449,0.11831884251443278,0.0,0.0,0.0,KMeans+mode,0.4,,,,
23,0.0,0.10682689532041449,0.11831884251443278,0.0,0.0,0.0,KMeans+median,0.4,,,,
24,-2.862203915443948,0.0004894860245575254,9.229078229460627e-06,0.014099203592611983,0.0003313372173234497,2.4260136196719123e-05,EM+CC,0.4,0.4767700925053065,0.4836352394174317,1.4043333874306804e-16,3.464975012320462e-05
25,0.0,-0.001047212179326759,0.0014758138147577453,0.0,0.0,0.0,KMeans+CC,0.5,,,,
26,0.0,0.10535890733826107,0.08692589995835363,0.0,0.0,0.0,KMeans+mean,0.5,,,,
27,0.0,0.10535890733826107,0.08692589995835363,0.0,0.0,0.0,KMeans+mode,0.5,,,,
